run_key,optimizer,optimizer_display,mode,mode_display,label,summary_path,run_dir,result_root,result_name,seed,accelerator,world_size,global_device_batch_size,local_device_batch_size,grad_accum_steps,num_params,steps,effective_batch_tokens,effective_batch_examples,target_update_tokens,actual_update_tokens,actual_candidate_tokens,actual_processed_tokens,training_time_sec,wall_time_sec,peak_vram_gb,eval_batches,final_eval_batches,final_val_loss,final_val_ppl,model_hash,dataset_fingerprint,dataset_hash
adamw,adamw,AdamW,standard,Standard,Standard AdamW,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_ddp4_h100_seed42/adamw/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_ddp4_h100_seed42/adamw,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_ddp4_h100_seed42,demo_dclm_adamw_equal1B_ddp4_h100_seed42,42.0,,4,128.0,32.0,1.0,50332688,7630,131072,128,1000000000,1000079360,0,1000079360,740.0856957435608,894.2566149234772,12.180694580078125,256,1024,3.2348426795797423,25.402375152146615,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
optiselect_adamw,adamw,AdamW,optiselect,OptiSelect,OptiSelect AdamW,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42/optiselect_adamw/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42/optiselect_adamw,/mloscratch/homes/aabdolla/results/demo_dclm_adamw_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42,demo_dclm_adamw_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42,42.0,,2,128.0,64.0,1.0,50332688,7630,131072,128,1000000000,1000079360,2000158720,3000238080,6280.098431348801,6533.040897369385,21.504722595214844,256,1024,3.22422211128287,25.134015082664508,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
ademamix,ademamix,AdEMAMix,standard,Standard,Standard AdEMAMix,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_ddp4_a100_seed42/ademamix/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_ddp4_a100_seed42/ademamix,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_ddp4_a100_seed42,demo_dclm_ademamix_equal1B_ddp4_a100_seed42,42.0,,4,128.0,32.0,1.0,50332688,7630,131072,128,1000000000,1000079360,0,1000079360,1546.2834751605988,1840.5069589614868,12.32156753540039,256,1024,3.031363143993076,20.725465135808335,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
optiselect_ademamix,ademamix,AdEMAMix,optiselect,OptiSelect,OptiSelect AdEMAMix,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42/optiselect_ademamix/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42/optiselect_ademamix,/mloscratch/homes/aabdolla/results/demo_dclm_ademamix_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42,demo_dclm_ademamix_equal1B_downstreamproxy_hs_arc_obqa_ddp2_h200_seed42,42.0,,2,128.0,64.0,1.0,50332688,7630,131072,128,1000000000,1000079360,2000158720,3000238080,6282.270157575607,6536.931158781052,21.69222640991211,256,1024,3.0317812293069437,20.734131960014412,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
d-muon,d-muon,d-Muon,standard,Standard,Standard d-Muon,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_ddp4_h200_seed42/d-muon/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_ddp4_h200_seed42/d-muon,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_ddp4_h200_seed42,demo_dclm_muon_equal1B_ddp4_h200_seed42,42.0,,4,128.0,32.0,1.0,50332688,7630,131072,128,1000000000,1000079360,0,1000079360,773.6535601615906,907.7436881065369,12.08694076538086,256,1024,3.0806953670689836,21.773537734395095,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
optiselect_d-muon,d-muon,d-Muon,optiselect,OptiSelect,OptiSelect d-Muon,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_downstreamproxy_hs_arc_obqa_ddp2_a100_seed42/optiselect_d-muon/summary.json,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_downstreamproxy_hs_arc_obqa_ddp2_a100_seed42/optiselect_d-muon,/mloscratch/homes/aabdolla/results/demo_dclm_muon_equal1B_downstreamproxy_hs_arc_obqa_ddp2_a100_seed42,demo_dclm_muon_equal1B_downstreamproxy_hs_arc_obqa_ddp2_a100_seed42,42.0,,4,128.0,32.0,1.0,50332688,7630,131072,128,1000000000,1000079360,2000158720,3000238080,17776.151071071625,18153.2799179554,12.062824249267578,256,1024,3.082480607263278,21.812443446818353,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
optiselect_signsgd,signsgd,signSGD,optiselect,OptiSelect,OptiSelect signSGD,/mloscratch/homes/aabdolla/results/demo_optiselect_dclm_edu_comprehensive/optiselect_signsgd/summary.json,/mloscratch/homes/aabdolla/results/demo_optiselect_dclm_edu_comprehensive/optiselect_signsgd,/mloscratch/homes/aabdolla/results/demo_optiselect_dclm_edu_comprehensive,demo_optiselect_dclm_edu_comprehensive,,,1,,,,50332688,7630,131072,128,1000000000,1000079360,2000158720,3000238080,12790.524265289307,13406.528203010559,40.71857309341431,256,1024,3.7799613701645285,43.81434916178284,c479728e4d2e,d4439064ee534a4b,c925b7a287f5
